Name,representative_disperions,disperse,no_dispersion,no_data,slight_dispersion,actinacidiphila,Phaeacidiphilus,Mangrovactinospora,Wenjunlia,Streptantibioticus
actinobacterium_ZXY022__2__Streptomyces_radiopugnans__1__id000106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans_id000107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans_id000109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans__COLLAPSED__id000110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans_id000112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_verrucosisporus_id000113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_sp.__2__Streptomyces_radiopugnans__1__unidentified__1__id000115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans__COLLAPSED__id000116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_mangrovicola_id000117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans_id000118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans_id000119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_albogriseolus_id000120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_pini__1__Streptomyces_sp.__2__Streptomyces_radiopugnans__1__id000121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_sp.__1__Streptomyces_pini__2__Streptomyces_radiopugnans__1__id000122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_barkulensis__COLLAPSED__id000123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_glaucosporus__2__Streptomyces_radiopugnans__1__id000124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_glaucosporus__3__Streptomyces_radiopugnans__2__id000125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_macrosporus__5__Streptomyces_radiopugnans__2__id000126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans__3__Streptomyces_macrosporus__5__id000127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_megasporus_id000129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_megasporus__2__Streptomyces_radiopugnans__1__id000130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans__2__Streptomyces_megasporus__3__id000131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_barkulensis_id000132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_mangrovi__2__Streptomyces_radiopugnans__1__Streptomyces_sp.__1__id000135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans_id000137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_atacamensis__3__Streptomyces_radiopugnans__1__id000138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_atacamensis__3__Streptomyces_radiopugnans__1__id000140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans_id000141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_thermolineatus__COLLAPSED__id000142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
actinobacterium_ZXY005__COLLAPSED__id000143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_poonensis_id000146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fumigatiscleroticus__COLLAPSED__id000147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fulvissimus__COLLAPSED__id000149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_flavofungini_id000150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_sp.__5__Streptomyces_sclerogranulatus__2__Streptomyces_luteocolor__2__Streptomyces_flavorectus__2__Streptomyces_silaceus__1__id000152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fradiae__COLLAPSED__id000154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_alfalfae__6__Streptomyces_fradiae__6__id000155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_sclerogranulatus_id000160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_sclerogranulatus_id000161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_flavofungini_id000164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_niveoruber_id000165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fulvissimus_id000166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_chromofuscus__COLLAPSED__id000167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_coeruleofuscus_id000168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_coeruleofuscus_id000170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_heteromorphus_id000172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
actinobacterium_R35_id000173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_cinereospinus_id000174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_coeruleofuscus_id000175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_coeruleofuscus__6__Streptomyces_coerulescens__3__Streptomyces_sp.__3__id000176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_coeruleofuscus_id000179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_cinerochromogenes_id000181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_cinerochromogenes_id000182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_cinerochromogenes__8__Streptomyces_coelescens__3__Streptomyces_sp.__4__id000183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_prasinosporus__COLLAPSED__id000184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_plemorphus__COLLAPSED__id000186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_ferrugineus__COLLAPSED__id000187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_mashuensis_id000188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_muensis_id000189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_cinereospinus__COLLAPSED__id000190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_cinereospinus__COLLAPSED__id000191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_achromogenes_id000192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_chromofuscus_id000193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_coeruleofuscus_id000195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_muensis__2__Streptomyces_canchipurensis__1__Streptomyces_sp.__1__id000196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_muensis__COLLAPSED__id000197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_muensis__COLLAPSED__id000198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_albidoflavus__COLLAPSED__id000199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_muensis_id000200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_spinoverrucosus__COLLAPSED__id000201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_sulfonofaciens__COLLAPSED__id000203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_flavoviridis_id000204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_pilosus_id000205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_flavoviridis_id000206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_setonii__1__Streptomyces_sp.__1__Streptomyces_griseus__1__id000208,griseus,griseus,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_setonii__1__Streptomyces_sp.__1__Streptomyces_griseus__1__id000210,griseus,griseus,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_griseus__1__Streptomyces_setonii__1__id000212,griseus,griseus,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_atrovirens_id000213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_heliomycini_id000214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_flavoviridis_id000215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_flavoviridis_id000218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_flavoviridis_id000222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_aureoverticillatus__COLLAPSED__id000225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fumigatiscleroticus_id000226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
